cve,repo,commit
CVE-2017-12664,ImageMagick,0417cea1b6d72f90bd4f1f573f91e42a8ba66a89
CVE-2017-12665,ImageMagick,c1b09bbec148f6ae11d0b686fdb89ac6dc0ab14e
CVE-2017-12666,ImageMagick,d5559407ce29f4371e5df9c1cbde65455fe5854c
CVE-2017-12667,ImageMagick,bfb7915d4b2e11acb6a819e451c382dc645277db
CVE-2017-12668,ImageMagick,2ba8f335fa06daf1165e0878462686028e633a74
CVE-2017-12669,ImageMagick,73b6c35cede48ccb2e29dbe62c2d77488e5e70b7
CVE-2017-12877,ImageMagick,04178de2247e353fc095846784b9a10fefdbf890
CVE-2017-13139,ImageMagick,d072ed6aff835c174e856ce3a428163c0da9e8f4
CVE-2017-13143,ImageMagick,51b0ae01709adc1e4a9245e158ef17b85a110960
CVE-2017-13145,ImageMagick,f13c6b54a879aaa771ec64b5a066b939e8f8e7f0
CVE-2017-13146,ImageMagick,79e5dbcdd1fc2f714f9bae548bc55d5073f3ed20
CVE-2017-14172,ImageMagick,bdbbb13f1fe9b7e2465502c500561720f7456aac
CVE-2017-14173,ImageMagick,50f54462076648ac2e36c3f58f4dadd4babbf1c9
CVE-2017-14174,ImageMagick,04a567494786d5bb50894fc8bb8fea0cf496bea8
CVE-2017-14175,ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c
CVE-2017-14341,ImageMagick,7d63315a64267c565d1f34b9cb523a14616fed24
CVE-2017-15032,ImageMagick,241988ca28139ad970c1d9717c419f41e360ddb0
CVE-2017-15033,ImageMagick,ef8f40689ac452398026c07da41656a7c87e4683
CVE-2017-15277,ImageMagick,9fd10cf630832b36a588c1545d8736539b2f1fb5
CVE-2017-16546,ImageMagick,2130bf6f89ded32ef0c88a11694f107c52566c53
CVE-2017-17499,ImageMagick,8c35502217c1879cb8257c617007282eee3fe1cc
